student_id,register_number,student_name,email,phone,gender,department,course,year,semester,section,academic_year,previous_gpa,previous_percentage,internal_marks,assignment_score,quiz_score,midterm_score,final_exam_score,classes_held,classes_attended,attendance_percentage,study_hours_per_day,assignment_completion_rate,online_learning_hours,library_usage,participation_score,final_score,grade,pass_fail,risk_level
11,CSE20250011,Liam Ahuja,liam.ahuja18@college.edu,+91-9188398760,Male,Computer Science Engineering,B.E. Computer Science Engineering,3,6,C,2025-2026,4.99,47.47,21.71,22.33,13.01,23.16,34.35,75,41,54.67,4.29,57.64,1.99,0,66.88,53.9,B,Pass,High
12,AIDS20240012,Gauri Sami,gauri.sami55@college.edu,+91-9561557300,Female,AI & Data Science,B.Tech. AI & Data Science,1,1,C,2024-2025,7.98,77.23,29.44,14.74,14.24,34.52,41.84,62,39,62.9,6.09,68.02,1.53,2,66.2,64.51,B+,Pass,Low
13,EEE20240013,Panini Mall,panini.mall15@college.edu,+91-9927923735,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,8,C,2024-2025,5.62,53.34,32.38,19.76,13.17,39.48,45.84,88,58,65.91,5.23,97.78,2.77,3,71.85,71.81,A,Pass,Low
14,IT20250014,Faras Kale,faras.kale1@college.edu,+91-8131247330,Male,Information Technology,B.E. Information Technology,3,5,B,2025-2026,6.36,65.67,25.56,12.02,11.82,28.66,37.82,76,37,48.68,5.35,51.28,1.16,4,41.98,55.48,B,Pass,Medium
15,EEE20240015,Om Chaudry,om.chaudry98@college.edu,+91-7693847829,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,2,C,2024-2025,6.38,64.38,19.66,14.23,10.58,26.32,59.71,77,53,68.83,3.56,56.53,2.66,5,67.21,61.84,B+,Pass,Medium
16,EEE20240016,Chakradhar Rai,chakradhar.rai47@college.edu,+91-8320763135,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,2,B,2024-2025,7.98,75.29,30.2,9.27,12.01,35.56,44.99,67,58,86.57,4.71,77.81,3.4,0,59.65,63.59,B+,Pass,Low
17,EEE20250017,Chasmum Parmer,chasmum.parmer98@college.edu,+91-9287955558,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,1,C,2025-2026,10.0,95.69,37.0,21.78,18.65,48.22,75.0,84,80,95.24,5.82,99.62,3.66,1,82.8,95.64,O,Pass,Low
18,ME20250018,Pooja Lalla,pooja.lalla70@college.edu,+91-9962958940,Female,Mechanical Engineering,B.E. Mechanical Engineering,4,7,B,2025-2026,4.82,49.03,16.11,14.43,10.06,28.75,41.86,66,29,43.94,3.0,38.0,2.48,2,48.85,52.77,B,Pass,High
19,ECE20250019,Anthony Sharaf,anthony.sharaf29@college.edu,+91-7274989148,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,6,C,2025-2026,6.8,68.38,33.74,21.43,19.0,37.2,60.43,70,49,70.0,6.35,73.4,2.67,0,85.78,81.74,A+,Pass,Low
20,EEE20240020,Diya Radhakrishnan,diya.radhakrishnan8@college.edu,+91-7983297492,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,3,A,2024-2025,6.53,65.55,31.72,19.67,16.0,34.84,44.83,62,38,61.29,7.71,57.96,1.63,5,79.92,70.07,A,Pass,Low
21,CE20240021,Balveer Memon,balveer.memon63@college.edu,+91-7920140090,Male,Civil Engineering,B.E. Civil Engineering,3,5,C,2024-2025,7.2,71.07,26.92,18.66,9.9,26.76,46.66,77,53,68.83,4.53,75.24,2.96,1,64.19,61.03,B+,Pass,Low
22,EEE20250022,Pratyush Handa,pratyush.handa13@college.edu,+91-9830309370,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,7,B,2025-2026,10.0,99.94,40.0,21.35,18.48,46.09,58.47,73,64,87.67,6.17,91.01,2.6,2,89.82,88.11,A+,Pass,Low
23,ECE20240023,Bakhshi Bath,bakhshi.bath94@college.edu,+91-8457293575,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,4,7,C,2024-2025,7.11,72.59,40.0,18.7,14.31,37.37,43.33,85,76,89.41,8.55,71.76,3.68,4,78.36,73.54,A,Pass,Low
24,CSE20250024,Ishaan Mann,ishaan.mann24@college.edu,+91-8196342297,Male,Computer Science Engineering,B.E. Computer Science Engineering,2,3,C,2025-2026,9.04,87.69,40.0,22.64,20.0,34.77,60.17,74,57,77.03,8.86,100.0,2.95,1,64.9,84.52,A+,Pass,Low
25,AIDS20240025,Chaaya Kaul,chaaya.kaul97@college.edu,+91-8015242176,Female,AI & Data Science,B.Tech. AI & Data Science,4,7,A,2024-2025,6.54,67.29,18.3,19.05,12.99,25.72,57.94,65,37,56.92,4.56,61.34,2.78,2,42.01,63.16,B+,Pass,Medium
26,ECE20240026,Chandresh Rai,chandresh.rai50@college.edu,+91-8139038460,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,2,4,A,2024-2025,7.62,75.44,26.19,17.19,10.4,38.65,65.1,89,78,87.64,7.68,70.92,3.57,4,89.87,74.88,A,Pass,Low
27,ECE20250027,Liam Setty,liam.setty38@college.edu,+91-7935018220,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,6,C,2025-2026,6.75,67.31,27.9,13.65,11.48,26.14,48.18,90,63,70.0,2.75,67.61,1.57,0,74.48,60.71,B+,Pass,Medium
28,ME20240028,Rajata Gaba,rajata.gaba65@college.edu,+91-9281169403,Female,Mechanical Engineering,B.E. Mechanical Engineering,1,2,A,2024-2025,7.79,76.28,27.3,14.83,14.04,32.66,48.06,65,45,69.23,4.05,63.84,1.69,0,90.8,65.36,B+,Pass,Low
29,EEE20240029,Reva Pant,reva.pant31@college.edu,+91-8734202799,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,1,A,2024-2025,6.4,57.06,37.05,18.76,11.77,24.82,33.16,63,43,68.25,6.08,49.17,2.52,5,55.21,59.8,B,Pass,Medium
30,EEE20240030,Henry Loke,henry.loke75@college.edu,+91-9427631155,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,3,C,2024-2025,7.27,70.81,24.75,22.15,15.55,28.29,49.93,76,62,81.58,5.9,62.61,3.61,2,62.2,66.46,B+,Pass,Low
31,IT20250031,Balendra Garg,balendra.garg86@college.edu,+91-9772404776,Male,Information Technology,B.E. Information Technology,2,4,A,2025-2026,6.93,70.97,25.89,15.3,11.47,25.19,41.51,69,41,59.42,4.13,54.03,2.46,2,51.29,56.77,B,Pass,Medium
32,CE20240032,Jason Gade,jason.gade28@college.edu,+91-9172758220,Male,Civil Engineering,B.E. Civil Engineering,1,1,B,2024-2025,7.1,66.0,29.38,18.99,11.73,39.48,39.72,68,46,67.65,6.21,65.18,1.32,1,50.75,66.43,B+,Pass,Low
33,IT20250033,Vihaan Raghavan,vihaan.raghavan70@college.edu,+91-8299301222,Male,Information Technology,B.E. Information Technology,1,1,B,2025-2026,7.69,75.75,22.2,17.64,17.66,37.74,60.54,79,60,75.95,7.1,70.16,3.47,5,95.26,74.11,A,Pass,Low
34,CE20240034,Lopa Kanda,lopa.kanda18@college.edu,+91-8135872495,Female,Civil Engineering,B.E. Civil Engineering,1,2,C,2024-2025,6.82,69.17,34.38,18.86,11.86,39.3,44.86,63,38,60.32,4.37,67.32,2.11,4,65.37,71.25,A,Pass,Low
35,ME20240035,Omaja Bhalla,omaja.bhalla27@college.edu,+91-9952777682,Female,Mechanical Engineering,B.E. Mechanical Engineering,2,4,B,2024-2025,6.01,65.16,18.95,18.91,13.23,28.21,51.27,80,49,61.25,5.76,39.36,2.57,4,69.45,61.68,B+,Pass,Medium
36,EEE20240036,Jyoti Balay,jyoti.balay36@college.edu,+91-7189351213,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,8,A,2024-2025,9.05,93.0,30.16,19.29,13.05,36.42,60.76,60,49,81.67,5.45,85.08,3.28,2,89.38,75.88,A,Pass,Low
37,CSE20250037,Nisha Rattan,nisha.rattan55@college.edu,+91-9409076656,Female,Computer Science Engineering,B.E. Computer Science Engineering,3,5,C,2025-2026,8.76,93.23,31.33,15.47,20.0,37.59,55.5,60,40,66.67,3.75,93.23,3.47,1,74.46,76.55,A,Pass,Low
38,ME20240038,Krish Bhatti,krish.bhatti6@college.edu,+91-8323959527,Male,Mechanical Engineering,B.E. Mechanical Engineering,2,3,B,2024-2025,7.58,81.44,37.51,15.61,20.0,39.2,55.79,71,71,100.0,5.58,73.0,3.0,4,79.91,80.64,A+,Pass,Low
39,CE20240039,Jagvi Murty,jagvi.murty46@college.edu,+91-9404681399,Female,Civil Engineering,B.E. Civil Engineering,1,2,A,2024-2025,7.26,68.69,17.16,17.26,13.11,38.4,65.85,88,76,86.36,4.88,52.87,2.4,4,62.64,71.97,A,Pass,Low
40,EEE20240040,Jagvi Tata,jagvi.tata4@college.edu,+91-7770348179,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,3,A,2024-2025,9.09,90.1,32.64,19.01,14.87,40.05,54.99,83,83,100.0,5.99,78.99,2.94,5,78.02,77.04,A,Pass,Low
41,CE20240041,Siya Shanker,siya.shanker14@college.edu,+91-8643004186,Female,Civil Engineering,B.E. Civil Engineering,4,7,B,2024-2025,4.2,45.31,16.13,18.05,12.82,33.43,45.25,87,29,33.33,3.71,48.09,0.93,0,42.27,59.52,B,Pass,High
42,ECE20250042,Ekbal Lanka,ekbal.lanka30@college.edu,+91-7957449367,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,2,3,B,2025-2026,5.5,51.34,29.94,12.52,14.29,34.77,44.43,60,36,60.0,4.19,66.75,2.68,3,54.24,65.24,B+,Pass,Medium
43,ECE20250043,Ekaraj Koshy,ekaraj.koshy66@college.edu,+91-8716605598,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,6,A,2025-2026,8.2,85.11,19.77,22.61,14.51,33.82,46.94,81,49,60.49,3.71,79.75,1.77,5,92.12,65.0,B+,Pass,Low
44,EEE20250044,Karan Sangha,karan.sangha34@college.edu,+91-7164313410,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,3,5,A,2025-2026,6.14,60.34,22.43,14.47,12.38,25.52,37.32,63,41,65.08,2.61,46.4,2.92,3,60.83,53.37,B,Pass,Medium
45,IT20240045,Ryan Pathak,ryan.pathak74@college.edu,+91-7816382125,Male,Information Technology,B.E. Information Technology,3,6,C,2024-2025,8.92,90.66,34.82,23.39,20.0,40.58,67.28,68,66,97.06,8.48,97.31,1.77,0,67.68,88.46,A+,Pass,Low
46,ECE20250046,Imaran Devi,imaran.devi86@college.edu,+91-8418198351,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,1,1,B,2025-2026,7.63,73.36,37.21,19.76,17.49,50.0,60.45,79,57,72.15,9.24,86.18,3.19,2,67.47,88.47,A+,Pass,Low
47,CE20250047,Yashoda Tak,yashoda.tak42@college.edu,+91-8728296502,Female,Civil Engineering,B.E. Civil Engineering,1,2,C,2025-2026,8.44,89.74,34.85,15.49,13.89,37.79,57.41,82,78,95.12,6.61,70.85,3.39,2,85.2,76.25,A,Pass,Low
48,CSE20250048,Chandani Batta,chandani.batta23@college.edu,+91-9643616431,Female,Computer Science Engineering,B.E. Computer Science Engineering,2,4,C,2025-2026,6.35,65.18,30.46,19.29,10.83,29.66,62.12,78,62,79.49,5.88,69.23,1.34,2,72.87,72.18,A,Pass,Low
49,EEE20240049,Christopher Dua,christopher.dua75@college.edu,+91-9605591588,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,2,B,2024-2025,6.73,65.71,31.62,13.89,12.55,30.05,60.52,80,51,63.75,4.56,63.13,2.72,2,58.68,70.9,A,Pass,Low
50,ECE20250050,Gauri Sami,gauri.sami95@college.edu,+91-7728818981,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,4,7,C,2025-2026,6.29,63.12,36.73,24.03,13.76,35.1,53.47,81,53,65.43,6.98,92.25,2.35,0,61.77,77.36,A,Pass,Low
51,EEE20250051,Azad Rajan,azad.rajan26@college.edu,+91-7632880459,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,3,5,A,2025-2026,6.74,68.07,26.56,20.52,15.9,40.73,58.26,60,41,68.33,6.97,74.65,2.85,0,81.92,76.99,A,Pass,Low
52,ECE20240052,Sai Sidhu,sai.sidhu50@college.edu,+91-9123333781,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,1,2,B,2024-2025,8.43,82.43,37.51,22.45,12.87,50.0,75.0,72,72,100.0,5.95,81.14,3.69,1,78.46,94.17,O,Pass,Low
53,ME20240053,Jeremiah Apte,jeremiah.apte90@college.edu,+91-9224611603,Male,Mechanical Engineering,B.E. Mechanical Engineering,1,1,B,2024-2025,7.01,71.09,30.29,24.37,13.52,38.4,54.82,74,70,94.59,5.31,64.84,1.66,0,61.51,76.44,A,Pass,Low
54,CSE20250054,Deepa Yadav,deepa.yadav72@college.edu,+91-9557448229,Female,Computer Science Engineering,B.E. Computer Science Engineering,1,2,A,2025-2026,6.84,70.43,34.66,23.57,19.72,47.88,63.62,70,61,87.14,5.56,85.75,3.88,5,86.37,90.25,O,Pass,Low
55,ECE20250055,Kiaan Oak,kiaan.oak97@college.edu,+91-8061886576,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,4,8,A,2025-2026,6.83,67.14,31.32,24.41,13.28,36.44,54.29,86,70,81.4,5.34,67.16,1.47,3,73.8,75.62,A,Pass,Low
56,CE20250056,Daksh Memon,daksh.memon37@college.edu,+91-8007142260,Male,Civil Engineering,B.E. Civil Engineering,4,7,B,2025-2026,5.88,57.5,19.03,13.97,13.48,40.39,46.09,68,49,72.06,3.39,60.68,1.75,2,72.65,63.55,B+,Pass,Medium
57,EEE20240057,Teerth Dugar,teerth.dugar20@college.edu,+91-7918920620,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,1,A,2024-2025,6.7,68.94,33.86,15.87,20.0,43.48,54.72,62,53,85.48,7.07,70.18,1.83,2,68.54,80.55,A+,Pass,Low
58,IT20240058,Vasana Aggarwal,vasana.aggarwal50@college.edu,+91-9508601974,Female,Information Technology,B.E. Information Technology,4,8,A,2024-2025,7.75,76.5,33.46,21.56,12.86,40.37,66.83,90,71,78.89,6.22,76.12,3.51,3,83.93,83.15,A+,Pass,Low
59,CE20250059,Karan Tella,karan.tella50@college.edu,+91-8799682701,Male,Civil Engineering,B.E. Civil Engineering,4,8,A,2025-2026,9.33,91.08,33.9,20.71,14.85,50.0,56.61,77,56,72.73,7.27,82.52,4.09,3,81.23,84.08,A+,Pass,Low
60,EEE20250060,Gaurav Tripathi,gaurav.tripathi4@college.edu,+91-8670128972,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,4,A,2025-2026,8.73,85.61,30.93,21.61,16.33,41.12,59.82,70,55,78.57,9.0,81.47,3.48,3,99.55,80.74,A+,Pass,Low
61,CE20240061,Damyanti Misra,damyanti.misra69@college.edu,+91-7115820025,Female,Civil Engineering,B.E. Civil Engineering,4,7,B,2024-2025,4.7,45.5,23.47,11.16,13.37,26.68,47.35,89,44,49.44,2.65,62.2,2.09,1,49.46,58.32,B,Pass,High
62,EEE20250062,Zehaan Issac,zehaan.issac60@college.edu,+91-7780520225,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,1,C,2025-2026,4.97,50.29,16.53,14.85,6.47,28.83,34.97,61,24,39.34,4.23,53.57,4.11,0,41.98,48.17,C,Pass,High
63,IT20250063,Ganga Prakash,ganga.prakash49@college.edu,+91-8195103064,Female,Information Technology,B.E. Information Technology,2,4,B,2025-2026,6.23,65.09,31.8,10.47,10.4,35.29,47.35,84,42,50.0,4.07,51.73,4.18,5,64.16,65.02,B+,Pass,Medium
64,ECE20240064,Gaurika Zacharia,gaurika.zacharia7@college.edu,+91-8503068227,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,5,B,2024-2025,8.95,87.44,24.21,21.4,13.01,42.08,62.22,67,57,85.07,4.54,87.38,3.14,3,96.42,77.24,A,Pass,Low
65,CE20240065,Zilmil Acharya,zilmil.acharya80@college.edu,+91-7654477195,Female,Civil Engineering,B.E. Civil Engineering,1,1,A,2024-2025,9.18,87.17,27.08,17.86,17.78,44.68,68.22,67,44,65.67,6.68,83.1,4.18,1,89.52,83.75,A+,Pass,Low
66,ME20250066,Ojasvi Suresh,ojasvi.suresh22@college.edu,+91-9602289301,Female,Mechanical Engineering,B.E. Mechanical Engineering,1,1,B,2025-2026,7.71,78.27,27.89,19.21,12.4,35.08,53.28,79,54,68.35,5.53,65.19,2.63,5,57.19,70.23,A,Pass,Low
67,ME20240067,Adya Choudhury,adya.choudhury40@college.edu,+91-9473028098,Female,Mechanical Engineering,B.E. Mechanical Engineering,1,1,B,2024-2025,4.16,38.97,19.79,14.35,7.19,25.46,55.29,81,31,38.27,4.46,48.1,1.32,4,58.73,57.76,B,Pass,High
68,ECE20240068,Pratyush Mohanty,pratyush.mohanty99@college.edu,+91-8295287749,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,4,7,A,2024-2025,7.49,76.24,31.69,16.49,14.68,42.51,55.13,87,64,73.56,3.67,80.96,1.87,3,66.58,76.76,A,Pass,Low
69,CE20250069,Kashvi Bhardwaj,kashvi.bhardwaj9@college.edu,+91-9173085046,Female,Civil Engineering,B.E. Civil Engineering,1,1,B,2025-2026,5.03,52.51,17.82,12.54,16.63,20.85,43.05,80,56,70.0,4.01,56.09,1.34,2,39.01,52.75,B,Pass,Medium
70,CE20250070,Kavya Brar,kavya.brar82@college.edu,+91-8974565461,Female,Civil Engineering,B.E. Civil Engineering,4,8,A,2025-2026,7.11,75.74,18.7,9.92,15.76,18.0,62.42,82,40,48.78,4.26,64.09,1.73,1,52.27,59.32,B,Pass,Medium
71,CSE20250071,Chaman Sunder,chaman.sunder76@college.edu,+91-8152750071,Female,Computer Science Engineering,B.E. Computer Science Engineering,3,6,B,2025-2026,7.46,73.8,26.79,22.08,13.38,25.93,58.6,70,52,74.29,6.33,74.59,2.07,4,61.71,69.23,B+,Pass,Low
72,CE20240072,Bhavya Walia,bhavya.walia73@college.edu,+91-9621354709,Female,Civil Engineering,B.E. Civil Engineering,1,2,B,2024-2025,7.18,71.31,33.96,17.47,12.28,35.09,55.5,81,57,70.37,7.06,64.86,2.55,2,49.98,73.56,A,Pass,Low
73,AIDS20250073,Dev Dave,dev.dave34@college.edu,+91-8461744198,Male,AI & Data Science,B.Tech. AI & Data Science,4,8,A,2025-2026,7.0,71.54,22.46,18.15,10.74,42.08,40.22,68,49,72.06,4.22,55.95,2.89,4,66.7,63.67,B+,Pass,Low
74,ME20240074,Wazir Gandhi,wazir.gandhi93@college.edu,+91-8745595491,Male,Mechanical Engineering,B.E. Mechanical Engineering,3,5,C,2024-2025,8.38,81.64,39.78,16.14,17.83,41.07,63.8,75,63,84.0,7.33,94.15,1.7,3,78.02,85.57,A+,Pass,Low
75,CSE20240075,Kevin Wable,kevin.wable29@college.edu,+91-8736889606,Male,Computer Science Engineering,B.E. Computer Science Engineering,4,8,B,2024-2025,3.92,40.15,15.66,7.92,7.99,17.36,38.61,82,25,30.49,3.77,25.47,0.98,0,30.94,41.7,C,Pass,High
76,ME20250076,Siddharth Kakar,siddharth.kakar96@college.edu,+91-9363900493,Male,Mechanical Engineering,B.E. Mechanical Engineering,3,6,C,2025-2026,6.79,64.16,27.47,21.5,12.85,38.69,69.2,70,64,91.43,5.09,88.35,2.78,2,60.57,80.39,A+,Pass,Low
77,ECE20240077,Harish Muni,harish.muni25@college.edu,+91-8355268102,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,6,B,2024-2025,5.78,56.15,22.61,11.92,11.68,30.11,45.91,63,32,50.79,4.73,47.6,2.88,2,38.21,58.39,B,Pass,High
78,CE20250078,Ryan Prakash,ryan.prakash76@college.edu,+91-9253298195,Male,Civil Engineering,B.E. Civil Engineering,2,3,A,2025-2026,7.09,72.99,27.14,16.28,11.71,34.94,44.7,79,38,48.1,7.43,51.36,3.09,2,61.64,64.27,B+,Pass,Medium
79,AIDS20250079,Theodore Varughese,theodore.varughese2@college.edu,+91-9294092753,Male,AI & Data Science,B.Tech. AI & Data Science,2,4,A,2025-2026,7.76,76.1,28.64,16.75,14.4,49.03,48.67,64,40,62.5,5.12,62.79,3.82,2,71.19,75.45,A,Pass,Low
80,AIDS20250080,Upkaar Dara,upkaar.dara2@college.edu,+91-9465587067,Male,AI & Data Science,B.Tech. AI & Data Science,3,5,C,2025-2026,5.35,50.53,23.48,11.52,12.54,20.13,34.53,69,41,59.42,2.29,50.34,0.0,2,59.57,48.8,C,Pass,High
81,ECE20250081,Krishna Kar,krishna.kar62@college.edu,+91-7490000526,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,5,A,2025-2026,8.55,83.83,28.27,14.86,18.21,40.93,74.46,86,66,76.74,5.09,82.04,2.46,0,75.98,84.39,A+,Pass,Low
82,ECE20240082,Bhavika Nigam,bhavika.nigam39@college.edu,+91-7365849190,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,1,1,A,2024-2025,5.74,53.9,26.68,17.57,16.55,29.79,52.4,67,43,64.18,6.08,72.99,2.49,1,61.57,67.99,B+,Pass,Low
83,CE20250083,Advaith Karpe,advaith.karpe57@college.edu,+91-8277121963,Male,Civil Engineering,B.E. Civil Engineering,4,7,C,2025-2026,6.16,55.69,28.68,16.38,8.27,38.81,56.67,87,56,64.37,5.63,86.93,2.15,3,44.81,70.88,A,Pass,Low
84,ECE20240084,Januja Amble,januja.amble27@college.edu,+91-9686566602,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,5,C,2024-2025,8.76,90.36,33.16,23.89,19.2,50.0,64.91,66,66,100.0,7.26,100.0,2.95,2,91.12,91.03,O,Pass,Low
85,AIDS20240085,Balendra Bhargava,balendra.bhargava53@college.edu,+91-8934898666,Male,AI & Data Science,B.Tech. AI & Data Science,2,3,A,2024-2025,7.55,73.14,29.84,20.56,13.55,33.69,63.82,82,60,73.17,4.56,89.15,4.0,3,73.33,76.55,A,Pass,Low
86,IT20250086,Jyoti Bir,jyoti.bir59@college.edu,+91-7305714736,Female,Information Technology,B.E. Information Technology,1,1,B,2025-2026,6.19,59.17,30.54,18.96,11.04,35.93,54.89,81,64,79.01,4.32,65.76,3.68,1,85.26,71.95,A,Pass,Low
87,IT20240087,Anamika Narayanan,anamika.narayanan35@college.edu,+91-7610900200,Female,Information Technology,B.E. Information Technology,2,4,A,2024-2025,6.63,68.0,30.5,17.64,14.03,37.99,42.82,62,39,62.9,4.65,67.8,2.39,0,47.87,68.3,B+,Pass,Low
88,CE20240088,Balendra Varkey,balendra.varkey39@college.edu,+91-8728760924,Male,Civil Engineering,B.E. Civil Engineering,3,6,B,2024-2025,7.25,73.98,29.64,13.93,16.09,40.36,71.93,90,67,74.44,5.39,71.71,3.4,2,77.0,82.18,A+,Pass,Low
89,EEE20240089,Kashish Mallick,kashish.mallick95@college.edu,+91-8384360647,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,8,A,2024-2025,5.93,60.31,23.12,20.59,11.96,34.51,38.1,79,48,60.76,5.57,62.37,2.48,2,73.17,60.81,B+,Pass,Medium
90,AIDS20250090,Watika Kala,watika.kala98@college.edu,+91-7752438459,Female,AI & Data Science,B.Tech. AI & Data Science,2,3,C,2025-2026,6.16,65.92,22.58,13.59,4.73,34.15,52.38,75,31,41.33,3.45,41.76,1.35,1,24.84,60.61,B+,Pass,High
91,ECE20250091,Ekaja Solanki,ekaja.solanki63@college.edu,+91-7391883149,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,5,C,2025-2026,9.08,91.31,40.0,25.0,19.52,36.81,66.39,75,75,100.0,5.69,81.94,2.47,2,99.6,89.15,A+,Pass,Low
92,IT20250092,Jairaj Solanki,jairaj.solanki64@college.edu,+91-8237886015,Male,Information Technology,B.E. Information Technology,3,5,A,2025-2026,6.2,60.06,23.32,16.23,14.59,24.59,50.6,81,62,76.54,1.85,75.64,2.24,5,55.04,61.36,B+,Pass,Medium
93,CE20250093,Samar Gupta,samar.gupta15@college.edu,+91-8735918651,Male,Civil Engineering,B.E. Civil Engineering,1,2,A,2025-2026,6.47,68.15,19.33,13.38,14.1,18.38,46.27,87,65,74.71,2.41,48.51,2.65,3,42.89,52.85,B,Pass,Medium
